Database|Substrate|Substrate SMILES|Product|Product SMILES|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes|Enzymes
DrugBank|Morphine|[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|morphine-3-glucuronide|CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3C=C[C@@H]4O)=CC=C5O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O|UGT2B7|UGT1-1||||||||||||||||||||||||
DrugBank|Ropivacaine|CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C|PPX|[H]N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H]([*])C(O)=O|CYP3A4|||||||||||||||||||||||||
DrugBank|Valproic Acid|CCCC(CCC)C(O)=O|5-Hydroxyvalproic acid|CCCC(CCCO)C(O)=O|CYP3A5|CYP2A6|CYP2C9|CYP2B6||||||||||||||||||||||
DrugBank|Valproic Acid|CCCC(CCC)C(O)=O|3-Hydroxyvalproic acid|CCCC(C(O)CC)C(O)=O|CYP3A5|CYP2A6||||||||||||||||||||||||
DrugBank|Valproic Acid|CCCC(CCC)C(O)=O|4-Hydroxyvalproic acid|CCCC(CC(C)O)C(O)=O|CYP3A5|CYP2A6|CYP2C9|CYP2B6||||||||||||||||||||||
DrugBank|Acetaminophen|CC(=O)NC1=CC=C(O)C=C1|NAPQI|CC(=O)N=C1C=CC(=O)C=C1|CYP1A2|CYP2D6|CYP2E1|||||||||||||||||||||||
DrugBank|Acetaminophen|CC(=O)NC1=CC=C(O)C=C1|Acetaminophen glucuronide|CC(=O)NC1=CC=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C1|UGT1-9|UGT1-6|UGT1-1|UGT2B15||||||||||||||||||||||
DrugBank|Acetaminophen|CC(=O)NC1=CC=C(O)C=C1|Acetaminophen sulfate|CC(=O)NC1=CC=C(OS(O)(=O)=O)C=C1|Sulfotransferase 1A1|Estrogen sulfotransferase|Sulfotransferase 1A3/1A4|Bile salt sulfotransferase||||||||||||||||||||||
DrugBank|Acetaminophen|CC(=O)NC1=CC=C(O)C=C1|3-Hydroxyacetaminophen|CC(=O)NC1=CC(O)=C(O)C=C1|CYP2A6|CYP2E1|CYP1A2|CYP2C8|CYP2C9|CYP3A4||||||||||||||||||||
DrugBank|Codeine|[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|morphine|CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3C=C[C@@H]4O)=CC=C5O|CYP2D6|||||||||||||||||||||||||
DrugBank|Codeine|[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|norcodeine|COC1=CC=C2C[C@H]3NCC[C@@]45[C@@H](OC1=C24)[C@@H](O)C=C[C@@H]35|CYP3A4|CYP3A7||||||||||||||||||||||||
DrugBank|Codeine|[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|Codeine-6-glucuronide|COC1=CC=C2C[C@@H]3[C@@H]4C=C[C@H](O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)[C@@H]5OC1=C2[C@]45CCN3C|UGT2B7|UGT2B11||||||||||||||||||||||||
DrugBank|Codeine|[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|Morphine|[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O|CYP2D6|||||||||||||||||||||||||
DrugBank|Amitriptyline|CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12|Nortriptyline|CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12|CYP2C9|CYP2C19|CYP1A2|CYP3A4|CYP2D6|CYP2B6|CYP2C8|||||||||||||||||||
DrugBank|Floxuridine|OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O|5-fluorouracil|FC1=CNC(=O)NC1=O|Thymidine phosphorylase|CYP2A6||||||||||||||||||||||||
DrugBank|Hydromorphone|[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O|Dihydromorphine|CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@@H]3CC[C@@H]4O)=CC=C5O|Prostaglandin G/H synthase 1|||||||||||||||||||||||||
DrugBank|Methadone|CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1|2ethylidene-1,5-dimethyl-3,3-diphenylpyrolidine|CC=C1N(C)C(C)CC1(C1=CC=CC=C1)C1=CC=CC=C1|CYP2D6|CYP3A4|CYP2B6|CYP2C8|CYP2C19|||||||||||||||||||||
DrugBank|Pyrazinamide|NC(=O)C1=NC=CN=C1|5-hydroxypyrazinamide|NC(=O)C1=CN=C(O)C=N1|Aldehyde oxidase|||||||||||||||||||||||||
DrugBank|Terfenadine|CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1|fexofenadine|CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1|CYP3A4|||||||||||||||||||||||||
DrugBank|Trimethadione|CN1C(=O)OC(C)(C)C1=O|dimethadione|CC1(C)OC(=O)N=C1O|CYP2E1|CYP3A4|CYP2C8|CYP2C9|CYP2C19|||||||||||||||||||||
DrugBank|Tioguanine|NC1=NC(=S)C2=C(N1)N=CN2|Thioguanosine monophosphate|NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2O)C(=S)N1|Hypoxanthine-guanine phosphoribosyltransferase|||||||||||||||||||||||||
DrugBank|Chlorzoxazone|ClC1=CC2=C(OC(=O)N2)C=C1|6-hydroxychlorzoxazone|OC1=C(Cl)C=C2NC(=O)OC2=C1|CYP2E1|||||||||||||||||||||||||
DrugBank|Clozapine|CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12|Norclozapine|ClC1=CC=C2NC3=CC=CC=C3C(=NC2=C1)N1CCNCC1|CYP3A4|CYP2C9|CYP2C19|CYP1A2|CYP2D6|||||||||||||||||||||
DrugBank|Progesterone|[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|21-Hydroxyprogesterone|C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO|CYP2C9|CYP2C19|CYP3A4|||||||||||||||||||||||
DrugBank|Sorafenib|CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1|Pyridine N-oxide|[O-][N+]1=CC=CC=C1|CYP3A4|||||||||||||||||||||||||
DrugBank|Eszopiclone|CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1|Carbon dioxide|O=C=O|Prostaglandin G/H synthase 1|||||||||||||||||||||||||
DrugBank|Zolpidem|CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1|Zolpidem|CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1|CYP3A4|CYP1A2|CYP2D6|||||||||||||||||||||||
DrugBank|Allopurinol|O=C1N=CN=C2NNC=C12|oxypurinol|O=C1NC(=O)C2=CNNC2=N1|Aldehyde oxidase|||||||||||||||||||||||||
DrugBank|Loratadine|CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2|Descarboethoxyloratadine|ClC1=CC=C2C(CCC3=CC=CN=C3C2=C2CCNCC2)=C1|CYP3A4|||||||||||||||||||||||||
DrugBank|Imipramine|CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12|Desipramine|CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12|CYP1A2|CYP2C19|CYP2D6|CYP3A4||||||||||||||||||||||
DrugBank|Nabumetone|COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2|4-hydroxy-4-(6-methoxy-2-naphthyl)-2-butanone|COC1=CC=C2C=C(C=CC2=C1)C(O)CC(C)=O|CYP1A2|||||||||||||||||||||||||
DrugBank|Quinine|[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12|3-hydroxyquinine|COC1=CC=C2N=CC=C([C@@H](O)[C@@H]3C[C@@H]4CC[N@]3C[C@]4(O)C=C)C2=C1|CYP3A4|||||||||||||||||||||||||
DrugBank|Fluoxetine|CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1|para-Trifluoromethylphenol|OC1=CC=C(C=C1)C(F)(F)F|CYP2C19|CYP3A4||||||||||||||||||||||||
DrugBank|Fluoxetine|CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1|Hippuric acid|OC(=O)CNC(=O)C1=CC=CC=C1|CYP2C19|CYP3A4||||||||||||||||||||||||
DrugBank|Oxycodone|[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O|oxymorphone|CN1CC[C@@]23[C@H]4OC5=C2C(C[C@@H]1[C@]3(O)CCC4=O)=CC=C5O|CYP2D6|||||||||||||||||||||||||
DrugBank|Haloperidol|OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1|4-(4-chlorophenyl)-4-hydroxypiperidine|OC1(CCNCC1)C1=CC=C(Cl)C=C1|CYP3A4|||||||||||||||||||||||||
DrugBank|Haloperidol|OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1|fluorobenzoylpropionic acid|OC(=O)CC(F)C(=O)C1=CC=CC=C1|CYP1A2|||||||||||||||||||||||||
DrugBank|Dextromethorphan|[H][C@]12CC3=C(C=C(OC)C=C3)[C@@]3(CCCC[C@]13[H])CCN2C|Dextrorphan|CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC1=CC=C(O)C=C31|CYP2D6|CYP2C9||||||||||||||||||||||||
DrugBank|Dextromethorphan|[H][C@]12CC3=C(C=C(OC)C=C3)[C@@]3(CCCC[C@]13[H])CCN2C|3-Methoxymorphinan|COC1=CC2=C(C[C@H]3NCC[C@@]22CCCC[C@@H]32)C=C1|CYP3A4|CYP2B6|CYP2D6|CYP2C9||||||||||||||||||||||
DrugBank|Dextrorphan|CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC1=CC=C(O)C=C31|Dextrorphan O-glucuronide|CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC1=CC=C(OC2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C31|UDP-glucuronosyltransferase|||||||||||||||||||||||||
DrugBank|Dextrorphan|CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC1=CC=C(O)C=C31|3-Hydroxymorphinan|OC1=CC2=C(C[C@H]3NCC[C@@]22CCCC[C@@H]32)C=C1|CYP3A4|CYP2D6||||||||||||||||||||||||
DrugBank|3-Methoxymorphinan|COC1=CC2=C(C[C@H]3NCC[C@@]22CCCC[C@@H]32)C=C1|3-Hydroxymorphinan|OC1=CC2=C(C[C@H]3NCC[C@@]22CCCC[C@@H]32)C=C1|CYP2D6|||||||||||||||||||||||||
DrugBank|Erlotinib|COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1|2-(4-(3-Ethynylanilino)-6-(2-methoxyethoxy)quinazolin-7-yl)oxyethanol|COCCOC1=C(OCCO)C=C2N=CN=C(NC3=CC(=CC=C3)C#C)C2=C1|CYP3A4|CYP3A5|CYP1A1|CYP1A2||||||||||||||||||||||
DrugBank|Cyclophosphamide|ClCCN(CCCl)P1(=O)NCCCO1|4-Hydroxycyclophosphamide|OC1CCOP(=O)(N1)N(CCCl)CCCl|CYP2C9|CYP3A4|CYP2B6|CYP2C19|CYP3A7|||||||||||||||||||||
DrugBank|Cyclophosphamide|ClCCN(CCCl)P1(=O)NCCCO1|Chloroacetaldehyde|ClCC=O|CYP3A7|||||||||||||||||||||||||
DrugBank|4-Hydroxycyclophosphamide|OC1CCOP(=O)(N1)N(CCCl)CCCl|4-Ketocyclophosphamide|OC1=NP(=O)(OCC1)N(CCCl)CCCl|CYP3A7|||||||||||||||||||||||||
DrugBank|Aldophosphamide|NP(=O)(OCCC=O)N(CCCl)CCCl|Alcophosphamide|NP(=O)(OCCCO)N(CCCl)CCCl|Alcohol dehydrogenase 1A|Alcohol dehydrogenase [NADP(+)]||||||||||||||||||||||||
DrugBank|Aldophosphamide|NP(=O)(OCCC=O)N(CCCl)CCCl|Carboxyphosphamide|NP(=O)(OCCC(O)=O)N(CCCl)CCCl|Aldehyde dehydrogenase, dimeric NADP-preferring|Aldehyde dehydrogenase family 1 member A3|Aldehyde dehydrogenase family 3 member B1|Aldehyde dehydrogenase family 3 member B2||||||||||||||||||||||
DrugBank|Acrolein|C=CC=O|Acrylic Acid|OC(=O)C=C|Aldehyde dehydrogenase, dimeric NADP-preferring|Retinal dehydrogenase 1||||||||||||||||||||||||
DrugBank|Mephenytoin|CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1|Nirvanol|CCC1(NC(=O)NC1=O)C1=CC=CC=C1|CYP2C9|CYP2B6||||||||||||||||||||||||
DrugBank|Zafirlukast|COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC2CCCC2)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C1=CC=CC=C1C|3-hydroxycyclopentyl N-[3-({2-methoxy-4-[(2-methylbenzenesulfonyl)carbamoyl]phenyl}methyl)-1-methylindol-5-yl]carbamate|COC1=C(CC2=CN(C)C3=CC=C(NC(=O)OC4CCC(O)C4)C=C23)C=CC(=C1)C(=O)NS(=O)(=O)C1=C(C)C=CC=C1|CYP2C9|CYP3A4||||||||||||||||||||||||
DrugBank|Carbamazepine|NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12|10,11-Epoxycarbamazepine|OC(=N)N1C2=CC=CC=C2C2OC2C2=CC=CC=C12|CYP2C8|CYP3A4|CYP3A5|CYP3A7|CYP2C19|||||||||||||||||||||
DrugBank|Carbamazepine|NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12|3-hydroxycarbamazepine|OC(=N)N1C2=CC=CC=C2C=CC2=CC=C(O)C=C12|CYP3A4|CYP2B6|CYP3A7|||||||||||||||||||||||
DrugBank|3-hydroxycarbamazepine|OC(=N)N1C2=CC=CC=C2C=CC2=CC=C(O)C=C12|2,3-Dihydroxycarbamazepine|OC(=N)N1C2=CC=CC=C2C=CC2=CC(O)=C(O)C=C12|CYP2C19|CYP3A4|CYP3A5|||||||||||||||||||||||
DrugBank|2-hydroxycarbamazepine|OC(=N)N1C2=CC=CC=C2C=CC2=CC(O)=CC=C12|2-hydroxyiminostilbene|OC1=CC=C2NC3=CC=CC=C3C=CC2=C1|CYP3A4|CYP3A7||||||||||||||||||||||||
DrugBank|10,11-Epoxycarbamazepine|OC(=N)N1C2=CC=CC=C2C2OC2C2=CC=CC=C12|10,11-Dihydroxycarbamazepine|OC1C(O)C2=CC=CC=C2N(C(O)=N)C2=CC=CC=C12|Epoxide hydrolase 1|||||||||||||||||||||||||
DrugBank|Carbamazepine|NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12|2-hydroxycarbamazepine|OC(=N)N1C2=CC=CC=C2C=CC2=CC(O)=CC=C12|CYP3A4|CYP2C8||||||||||||||||||||||||
DrugBank|Cinnarizine|C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1|Benzophenone|O=C(C1=CC=CC=C1)C1=CC=CC=C1|CYP2C9|CYP1A1|CYP1A2|CYP2A6||||||||||||||||||||||
DrugBank|Cinnarizine|C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1|Cinnamaldehyde|O=C\C=C\C1=CC=CC=C1|CYP2C9|CYP1A2|CYP2A6|||||||||||||||||||||||
DrugBank|Cinnarizine|C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1|1-Cinnamylpiperazine|C(\C=C\C1=CC=CC=C1)N1CCNCC1|CYP2C9|CYP1A2|CYP2A6|||||||||||||||||||||||
DrugBank|Fenfluramine|CCNC(C)CC1=CC(=CC=C1)C(F)(F)F|norfenfluramine|CC(N)CC1=CC=CC(=C1)C(F)(F)F|CYP2D6|||||||||||||||||||||||||
DrugBank|Diclofenac|OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl|4'-Hydroxydiclofenac|OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=C(O)C=C1Cl|CYP2C9|||||||||||||||||||||||||
DrugBank|Diclofenac|OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl|Diclofenac acyl glucuronide|O[C@@H]1[C@@H](O)[C@H](OC(=O)CC2=CC=CC=C2NC2=C(Cl)C=CC=C2Cl)O[C@@H]([C@H]1O)C(O)=O|UGT2B7|UGT1-1||||||||||||||||||||||||
DrugBank|Diclofenac|OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl|3'-Hydroxydiclofenac|OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC(O)=C1Cl|Prostaglandin G/H synthase 1|||||||||||||||||||||||||
DrugBank|Diclofenac|OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl|5-Hydroxydiclofenac|OC(=O)CC1=CC(O)=CC=C1NC1=C(Cl)C=CC=C1Cl|CYP3A4|||||||||||||||||||||||||
DrugBank|Cisapride|CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC|3-(4-fluorophenoxy)propanal|FC1=CC=C(OCCC=O)C=C1|CYP3A4|CYP2C8|CYP2B6|||||||||||||||||||||||
DrugBank|Paramethadione|CCC1(C)OC(=O)N(C)C1=O|5-ethyl-5-methyl-2,4-oxazolidinedione|CCC1(C)OC(=O)NC1=O|CYP2C9|||||||||||||||||||||||||
DrugBank|Testosterone|[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|6-beta-hydroxytestosterone|C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O|CYP3A4|||||||||||||||||||||||||
DrugBank|Testosterone|[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|Estradiol|C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@H]2O|CYP19A1|||||||||||||||||||||||||
DrugBank|Testosterone|[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|Dihydrotestosterone|C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O|3-oxo-5-alpha-steroid 4-dehydrogenase 2|||||||||||||||||||||||||
DrugBank|Testosterone|[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|2alpha-hydroxytestosterone|C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)[C@H](O)C[C@]34C)[C@@H]1CC[C@@H]2O|CYP3A4|||||||||||||||||||||||||
DrugBank|Testosterone|[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|2beta-hydroxytestosterone|C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)[C@@H](O)C[C@]34C)[C@@H]1CC[C@@H]2O|CYP3A4|||||||||||||||||||||||||
DrugBank|Testosterone|[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|15alpha-hydroxytestosterone|C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1[C@@H](O)C[C@@H]2O|CYP3A4|||||||||||||||||||||||||
